id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
428;5784;141;4.090.248.962.655.600;7.0;01/09/2025;18/05/2012;43.493.201.483.312.700
429;4928;124;35.223.214.285.714.200;10.0;29/08/2025;25/08/2011;3.514.497.850.722.930
430;2527;78;3.133.359.715.077.160;21.0;18/08/2025;25/08/2011;18.060.603.093.792.800
431;6667;148;39.187.040.647.967.600;9.0;29/08/2025;10/04/2012;49.774.084.679.893.600
432;6690;158;4.020.029.895.366.210;9.0;29/08/2025;26/04/2012;50.099.507.591.300.700
433;8804;191;34.986.369.831.894.500;9.0;29/08/2025;23/05/2012;663.115.971.935.617
434;7163;200;4.291.637.582.018.700;3.0;05/09/2025;22/08/2011;509.747.514.135.309
435;8455;210;4.589.828.503.843.870;3.0;05/09/2025;22/08/2011;60.169.136.283.876
436;7463;214;4.501.942.918.397.420;10.0;29/08/2025;09/06/2010;4.899.271.582.733.810
437;6975;234;47.390.681.003.584.200;10.0;29/08/2025;09/06/2010;45.789.118.705.035.900
438;5866;183;42.920.218.206.614.300;10.0;29/08/2025;09/06/2010;38.508.812.949.640.200
439;3409;160;4.760.633.616.896.450;37.0;01/08/2025;09/06/2010;224.924.981.923.355
440;681;31;2.248.164.464.023.490;101.0;29/05/2025;19/08/2012;5.326.012.427.683.730
441;3290;117;438.145.896.656.535;33.0;05/08/2025;27/05/2012;24.919.070.346.544.900
442;6977;180;429.296.259.137.165;10.0;29/08/2025;27/05/2012;5.258.321.288.457.560
443;5596;157;4.359.006.433.166.540;10.0;29/08/2025;31/05/2012;4.221.868.540.719.300
444;0;0;0.0;;;;0.0
445;840;55;5.046.428.571.428.570;48.0;21/07/2025;25/08/2011;6.035.433.070.866.140
446;1767;98;4.730.616.864.742.500;21.0;18/08/2025;19/10/2009;11.154.531.304.047.000
447;1443;89;4.887.733.887.733.880;83.0;17/06/2025;19/10/2009;9.207.954.545.454.540
448;1178;76;5.049.235.993.208.820;101.0;29/05/2025;19/10/2009;7.542.010.173.653.740
449;1371;81;5.273.522.975.929.970;21.0;18/08/2025;19/10/2009;865.470.425.458.319
450;5257;164;4.617.842.876.165.110;9.0;29/08/2025;19/10/2009;33.122.820.645.606.700
451;1476;95;4.013.550.135.501.350;19.0;19/08/2025;19/10/2009;9.315.925.989.970.600
452;2319;99;29.607.589.478.223.300;19.0;19/08/2025;25/08/2011;1.657.077.133.907.590
453;2501;65;26.573.370.651.739.300;21.0;18/08/2025;17/11/2010;1.694.255.753.526.350
454;5830;128;409.433.962.264.151;9.0;29/08/2025;10/07/2011;41.199.419.167.473.300
455;5945;161;443.650.126.156.434;9.0;29/08/2025;23/05/2012;44.777.651.671.481.600
456;0;0;0.0;;;;0.0
457;3722;122;4.294.196.668.457.810;3.0;05/09/2025;18/04/2012;27.787.482.102.679.400
458;0;0;0.0;;;;0.0
459;7301;169;4.272.428.434.461.030;10.0;29/08/2025;22/08/2011;5.202.782.116.360.790
460;7312;166;418.230.306.345.733;10.0;29/08/2025;22/08/2011;5.210.620.851.229.980
461;5619;180;4.715.785.726.997.680;10.0;29/08/2025;22/08/2011;4.004.168.293.635.290
462;0;0;0.0;;;;0.0
463;3050;152;45.777.049.180.327.800;34.0;05/08/2025;09/06/2010;20.109.284.682.080.900
464;2931;135;38.570.453.770.044.300;26.0;12/08/2025;09/06/2010;19.300.288.652.354.300
465;0;0;0.0;;;;0.0
466;0;0;0.0;;;;0.0
467;1576;55;3.041.243.654.822.330;33.0;05/08/2025;25/08/2011;11.292.500.981.546.900
468;1221;50;27.280.917.280.917.200;33.0;05/08/2025;25/08/2011;8.748.822.143.698.460
469;1820;104;4.703.846.153.846.150;21.0;18/08/2025;19/10/2009;11.489.104.116.222.700
470;5411;178;4.565.329.883.570.500;9.0;29/08/2025;19/10/2009;34.093.129.639.219.700
471;5840;179;4.408.390.410.958.900;9.0;29/08/2025;19/10/2009;36.796.133.264.284.400
472;6545;136;3.608.097.784.568.370;9.0;29/08/2025;05/10/2011;4.705.387.039.590.300
473;3839;113;3.341.234.696.535.550;3.0;05/09/2025;05/10/2011;27.561.664.044.059.700
474;3292;120;31.816.524.908.869.900;3.0;05/09/2025;05/10/2011;23.634.539.732.494.000
475;3432;73;26.806.526.806.526.800;6.0;02/09/2025;21/05/2012;25.817.807.089.859.800
476;2715;55;25.064.456.721.915.200;6.0;02/09/2025;21/05/2012;20.424.051.937.345.400
477;5874;135;3.784.644.194.756.550;10.0;29/08/2025;18/04/2012;43.925.629.993.853.700
478;2365;83;27.547.568.710.359.400;33.0;05/08/2025;19/10/2009;14.963.165.193.274.300
