id;total_features;num_colaboradores;versao_media;idade_em_dias;data_ultima_edicao;data_primeira_edicao;frequencia_atualizacao_anual
229;82;12;6.621.951.219.512.190;11.0;01/09/2025;11/03/2015;7.820.747.321.661.870
230;82;12;6.621.951.219.512.190;11.0;01/09/2025;11/03/2015;7.820.747.321.661.870
231;82;12;6.621.951.219.512.190;11.0;01/09/2025;11/03/2015;7.820.747.321.661.870
232;84;13;6.523.809.523.809.520;11.0;01/09/2025;22/10/2012;652.618.135.376.756
233;288;30;4.576.388.888.888.880;11.0;01/09/2025;22/10/2012;22.375.478.927.203.000
234;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
235;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
236;0;0;0.0;;;;0.0
237;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
238;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
239;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
240;0;0;0.0;;;;0.0
241;0;0;0.0;;;;0.0
242;89;14;6.629.213.483.146.060;11.0;01/09/2025;22/10/2012;6.914.644.529.587.050
243;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
244;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
245;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
246;0;0;0.0;;;;0.0
247;0;0;0.0;;;;0.0
248;0;0;0.0;;;;0.0
249;0;0;0.0;;;;0.0
250;0;0;0.0;;;;0.0
251;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
252;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
253;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
254;36;8;8.25;11.0;01/09/2025;30/04/2016;38.522.427.440.633.200
255;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
256;0;0;0.0;;;;0.0
257;0;0;0.0;;;;0.0
258;0;0;0.0;;;;0.0
259;0;0;0.0;;;;0.0
260;0;0;0.0;;;;0.0
261;0;0;0.0;;;;0.0
262;0;0;0.0;;;;0.0
263;0;0;0.0;;;;0.0
264;0;0;0.0;;;;0.0
265;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
266;36;8;8.25;11.0;01/09/2025;30/04/2016;38.522.427.440.633.200
267;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
268;287;29;4.588.850.174.216.020;11.0;01/09/2025;07/02/2015;27.138.601.036.269.400
269;0;0;0.0;;;;0.0
270;0;0;0.0;;;;0.0
271;0;0;0.0;;;;0.0
272;0;0;0.0;;;;0.0
273;0;0;0.0;;;;0.0
274;0;0;0.0;;;;0.0
275;0;0;0.0;;;;0.0
276;1123;41;3.794.300.979.519.140;5.0;07/09/2025;16/07/2018;1.570.478.927.203.060
277;125;9;3.168;1579.0;17/05/2021;16/07/2018;4.403.957.528.957.520
278;1;1;5.0;2633.0;28/06/2018;28/06/2018;365.0
279;37;9;8.162.162.162.162.160;11.0;01/09/2025;30/04/2016;3.959.249.486.953.970
